
Image Name                     PID Session Name        Session#    Mem Usage
chrome.exe                   22340 Console                   37     11,492 K
chrome.exe                   13888 Console                   37     55,860 K
SecurityHealthSystray.exe     4412 Console                   37      4,352 K
OneDrive.exe                 14452 Console                   37     27,380 K
chrome.exe                   18500 Console                   37     10,096 K
TextInputHost.exe            17808 Console                   37     11,160 K
ms-teams.exe                 10008 Console                   37     24,756 K
RuntimeBroker.exe            23632 Console                   37      3,012 K
msedgewebview2.exe           10776 Console                   37     56,488 K
msedgewebview2.exe           11164 Console                   37      2,120 K
msedgewebview2.exe            5872 Console                   37     22,172 K
msedgewebview2.exe             868 Console                   37     14,896 K
msedgewebview2.exe            2288 Console                   37      5,392 K
msedgewebview2.exe            2328 Console                   37     11,316 K
FileCoAuth.exe               13984 Console                   37     15,596 K
ms-teams.exe                 19872 Console                   37     26,132 K
msedgewebview2.exe           19956 Console                   37      4,756 K
AdobeCollabSync.exe          18812 Console                   37      5,652 K
AdobeCollabSync.exe          14460 Console                   37      9,560 K
ApplicationFrameHost.exe      7856 Console                   37     13,112 K
SystemSettings.exe           23328 Console                   37      1,048 K
UserOOBEBroker.exe           22228 Console                   37      5,312 K
svchost.exe                  19252 Console                   37      8,108 K
chrome.exe                   17944 Console                   37    490,844 K
chrome.exe                   20652 Console                   37     11,112 K
chrome.exe                   22040 Console                   37      8,840 K
chrome.exe                   14864 Console                   37     30,088 K
SearchApp.exe                16780 Console                   37     27,524 K
msedgewebview2.exe           18988 Console                   37     38,388 K
msedgewebview2.exe           24172 Console                   37      1,676 K
msedgewebview2.exe            8156 Console                   37     10,820 K
msedgewebview2.exe            9960 Console                   37     19,252 K
msedgewebview2.exe            2344 Console                   37      6,680 K
msedgewebview2.exe           22828 Console                   37     44,548 K
ShellExperienceHost.exe      24268 Console                   37     11,312 K
WUDFHost.exe                 11388 Services                   0      3,108 K
svchost.exe                  13696 Services                   0      3,104 K
dllhost.exe                   9672 Console                   37      6,444 K
onenoteim.exe                 3196 Console                   37     62,260 K
RuntimeBroker.exe            18928 Console                   37     15,040 K
chrome.exe                   17616 Console                   37    216,284 K
RuntimeBroker.exe            18236 Console                   37     18,100 K
svchost.exe                   8224 Console                   37      8,660 K
SystemSettingsBroker.exe     15720 Console                   37     20,424 K
LockApp.exe                  10716 Console                   37     11,308 K
RuntimeBroker.exe            22700 Console                   37     19,560 K
svchost.exe                  14076 Services                   0      7,504 K
Acrobat.exe                  24108 Console                   37     17,660 K
Acrobat.exe                  17488 Console                   37     23,148 K
AcroCEF.exe                   2468 Console                   37     13,744 K
AcroCEF.exe                  13760 Console                   37     19,532 K
AcroCEF.exe                  10072 Console                   37     10,364 K
AcroCEF.exe                  12052 Console                   37     16,184 K
AcroCEF.exe                  14008 Console                   37     17,000 K
AcroCEF.exe                  17008 Console                   37     12,888 K
AcroCEF.exe                  12264 Console                   37     12,904 K
AcroCEF.exe                   3352 Console                   37     13,156 K
AcroCEF.exe                  20024 Console                   37     13,476 K
chrome.exe                   12540 Console                   37    222,308 K
svchost.exe                  16692 Services                   0      8,316 K
chrome.exe                    5608 Console                   37     96,892 K
msedge.exe                   11032 Console                   37     42,792 K
msedge.exe                   21288 Console                   37      7,444 K
msedge.exe                   20992 Console                   37     19,552 K
msedge.exe                   19812 Console                   37     18,132 K
msedge.exe                   18276 Console                   37     14,832 K
msedge.exe                   12408 Console                   37      6,320 K
msedge.exe                    8064 Console                   37      6,460 K
msedge.exe                    4832 Console                   37     10,016 K
msedge.exe                   17400 Console                   37     14,388 K
taskhostw.exe                 3204 Console                   37      9,072 K
svchost.exe                  15544 Services                   0      5,592 K
chrome.exe                   11272 Console                   37    174,636 K
chrome.exe                    5924 Console                   37    133,068 K
chrome.exe                   18864 Console                   37     36,912 K
Code.exe                     24556 Console                   37     75,984 K
Code.exe                      5664 Console                   37     17,788 K
Code.exe                     22572 Console                   37     95,460 K
Code.exe                     20824 Console                   37     22,608 K
Code.exe                     12844 Console                   37    289,664 K
